iter	Passed	Remaining
446	1170	1448
447	1174	1446
448	1183	1452
449	1186	1450
450	1189	1447
451	1191	1444
452	1194	1442
453	1196	1439
454	1199	1436
455	1202	1434
456	1204	1431
457	1207	1428
458	1210	1426
459	1212	1423
460	1215	1421
461	1217	1418
462	1220	1415
463	1222	1412
464	1225	1409
465	1227	1406
466	1229	1403
467	1232	1401
468	1235	1398
469	1238	1396
470	1240	1393
471	1243	1391
472	1246	1388
473	1248	1385
474	1250	1382
475	1253	1379
476	1255	1376
477	1258	1374
478	1260	1371
479	1263	1368
480	1265	1365
481	1267	1362
482	1270	1359
483	1272	1357
484	1276	1355
485	1278	1352
486	1280	1349
487	1283	1346
488	1285	1343
489	1287	1340
490	1290	1337
491	1292	1334
492	1295	1332
493	1297	1329
494	1300	1326
495	1302	1323
496	1305	1321
497	1308	1318
498	1310	1315
499	1312	1312
500	1315	1309
501	1317	1307
502	1320	1304
503	1322	1301
504	1325	1298
505	1327	1296
506	1330	1293
507	1332	1290
508	1334	1287
509	1336	1284
510	1339	1281
511	1342	1279
512	1345	1276
513	1347	1274
514	1350	1271
515	1352	1268
516	1355	1266
517	1358	1263
518	1360	1261
519	1362	1258
520	1365	1255
521	1368	1252
522	1370	1250
523	1373	1247
524	1376	1245
525	1378	1242
526	1381	1239
527	1383	1236
528	1385	1233
529	1388	1231
530	1391	1229
531	1394	1227
532	1397	1224
533	1399	1221
534	1401	1218
535	1404	1215
536	1406	1213
537	1409	1210
538	1412	1208
539	1415	1205
540	1417	1202
541	1419	1199
542	1422	1197
543	1425	1194
544	1427	1192
545	1430	1189
546	1432	1186
547	1434	1183
548	1436	1180
549	1439	1177
550	1441	1175
551	1444	1172
552	1446	1169
553	1448	1166
554	1451	1163
555	1453	1160
556	1456	1158
557	1458	1155
558	1461	1152
559	1463	1149
560	1465	1146
561	1467	1143
562	1469	1141
563	1473	1138
564	1475	1135
565	1477	1132
566	1480	1130
567	1482	1127
568	1485	1124
569	1487	1122
570	1489	1119
571	1492	1116
572	1494	1113
573	1497	1111
574	1499	1108
575	1501	1105
576	1504	1103
577	1507	1100
578	1509	1097
579	1512	1095
580	1514	1092
581	1517	1089
582	1519	1086
583	1522	1084
584	1525	1081
585	1527	1079
